naic_product,sic_industry,sic_product,sic_title
2111122,NA,13222,Natural gas liquids
211112221,NA,1322221,Isopentane and natural gasoline
211112231,NA,1322231,Propane
211112232,NA,1322232,Butane
211112298,NA,1322298,"Ethane, gas mixtures, and other natural gas liquids"
2111123,NA,13223,Natural gas residue (from gas processors)
211112SM,NA,1322SM,Secondary products and miscellaneous receipts
211112M,NA,1322M,Miscellaneous receipts
211112S,NA,1322S,Secondary products
213111,1381,1381,Drilling oil and gas wells
213111P,NA,1381P,Primary products
NA,NA,13817,Offshore drilling
NA,NA,1381701,"Drilling oil, gas, dry, and service wells"
NA,NA,1381704,Reworking wells
NA,NA,13819,Onshore drilling
21311101,NA,1381901,"Drilling oil, gas, dry, and service wells"
21311102,NA,1381904,Reworking wells
21311103,NA,1381906,Directional drilling control
213111SM,NA,1381SM,Secondary products and miscellaneous receipts
213111M,NA,1381M,Miscellaneous receipts
213111S,NA,1381S,Secondary products
NA,1382,1382,Oil and gas field exploration services
NA,NA,1382P,Primary products
2131121,NA,13821,Oil and gas field exploration services
NA,NA,1382S,Secondary products
213112,1389,1389,"Oil and gas field services, nec"
213112P,NA,1389P,Primary products
2131122,NA,13891,"Oil and gas field services, nec"
213112SM,NA,1389SM,Secondary products and miscellaneous receipts
213112M,NA,1389M,Miscellaneous receipts
213112S,NA,1389S,Secondary products
212311,1411,1411,Dimension stone
212311P,NA,1411P,Primary products
NA,NA,1411101,Rough dimension limestone
NA,NA,1411501,Rough dimension granite
NA,NA,1411901,Other rough dimension stone
212311SM,NA,1411SM,Secondary products and miscellaneous receipts
212311M,NA,1411M,Miscellaneous receipts
212311S,NA,1411S,Secondary products
212312,1422,1422,Crushed and broken limestone
212312P,NA,1422P,Primary products
NA,NA,14221,North Central region
NA,NA,1422112,East North Central division
NA,NA,1422113,West North Central division
NA,NA,14222,Other regions
NA,NA,142221,South region
NA,NA,1422211,South Atlantic division
NA,NA,1422212,East South Central division
NA,NA,1422213,West South Central division
NA,NA,142222,Northeast region
NA,NA,142223,West region
212312SM,NA,1422SM,Secondary products and miscellaneous receipts
212312M,NA,1422M,Miscellaneous receipts
212312S,NA,1422S,Secondary products
212313,1423,1423,"Crushed and broken granite, nec"
212313P,NA,1423P,Primary products
NA,NA,142311101,South Atlantic region
NA,NA,142311102,Other regions
212313SM,NA,1423SM,Secondary products and miscellaneous receipts
212313M,NA,1423M,Miscellaneous receipts
212313S,NA,1423S,Secondary products
212319,1429,1429,"Crushed and broken stone, nec"
212319P,NA,1429P,Primary products
2123191,NA,14291,"Crushed and broken stone, nec"
212319SM,NA,1429SM,Secondary products and miscellaneous receipts
212319M,NA,1429M,Miscellaneous receipts
212319S,NA,1429S,Secondary products
212321,1442,1442,Construction sand and gravel
212321P,NA,1442P,Primary products
2123213,NA,14423,Construction sand
2123213A,NA,14423A,Northeastern Region
2123213B,NA,14423B,North Central Region
2123213C,NA,14423C,Southern Region
2123213D,NA,14423D,Western Region
21232138,NA,144238,Mountain
21232139,NA,144239,Pacific
2123215,NA,14425,Construction gravel
2123215A,NA,14425A,Northeastern Region
2123215B,NA,14425B,North Central Region
2123215C,NA,14425C,Southern Region
2123215D,NA,14425D,Western Region
21232158,NA,144258,Mountain
21232159,NA,144259,Pacific
212321SM,NA,1442SM,Secondary products and miscellaneous receipts
212321M,NA,1442M,Miscellaneous receipts
NA,NA,1442XY9,Contract work and other miscellaneous receipts
NA,NA,1442Z89,Resales
212321S,NA,1442S,Secondary products
NA,NA,1442SS,Secondary products
212322,1446,1446,Industrial sand
212322P,NA,1446P,Primary products
2123221,NA,14461,Glass sand
2123225,NA,14465,Molding sand
2123229,NA,14469,"Other industrial sand, nec"
212322SM,NA,1446SM,Secondary products and miscellaneous receipts
212322M,NA,1446M,Miscellaneous receipts
212322S,NA,1446S,Secondary products
NA,NA,1446SS,Secondary products
212324,1455,1455,Kaolin and ball clay
212324P,NA,1455P,Primary products
2123241,NA,14551,Crude kaolin and ball clay
2123242,NA,14552,Prepared kaolin and ball clay
212324SM,NA,1455SM,Secondary products and miscellaneous receipts
212324M,NA,1455M,Miscellaneous receipts
212324S,NA,1455S,Secondary products
212325,1459,1459,"Clay and related minerals, nece"
212325P,NA,1459P,Primary products
2123251,NA,14591,Bentonite
2123252,NA,14592,Fire clay
2123253,NA,14593,Fuller's earth
2123256,NA,14596,Feldspar
2123257,NA,14597,Common clay and shale
2123259,NA,14599,Other clay and related minerals
212325SM,NA,1459SM,Secondary products and miscellaneous receipts
212325M,NA,1459M,Miscellaneous receipts
212325S,NA,1459S,Secondary products
NA,NA,1459SS,Secondary products
212391,1474,1474,"Potash, soda, and borate minerals"
212391P,NA,1474P,Primary products
2123911,NA,14741,Crude potassium salts
2123912,NA,14742,Processed or refined potassium salts
2123913,NA,14743,Natural sodium carbonates and sulfates
2123914,NA,14744,Boron compounds
212391SM,NA,1474SM,Secondary products and miscellaneous receipts
212391M,NA,1474M,Miscellaneous receipts
212391S,NA,1474S,Secondary products
NA,NA,1474SS,Secondary products
212392,1475,1475,Phosphate rock
212392P,NA,1475P,Primary products
2123921,NA,14751,Crude phosphate ore or matrix
NA,NA,1475101,Crude phosphate ore or matrix
2123922,NA,14752,Processed phosphate rock
212392201,NA,1475201,Washed or concentrated phosphate rock
212392206,NA,1475206,Dried phosphate rock
212392208,NA,1475208,Calcined or sintered phosphate rock
212392SM,NA,1475SM,Secondary products and miscellaneous receipts
212392M,NA,1475M,Miscellaneous receipts
212392S,NA,1475S,Secondary products
212393,1479,1479,"Chemical and fertilizer mineral mining, nec"
212393P,NA,1479P,Primary products
2123931,NA,14791,Barite
2123932,NA,14792,Fluorspar
2123933,NA,14793,Rock salt
2123934,NA,14794,Sulfur
2123939,NA,14799,"Chemical and fertilizer mineral mining, nec"
212393SM,NA,1479SM,Secondary products and miscellaneous receipts
212393M,NA,1479M,Miscellaneous receipts
212393S,NA,1479S,Secondary products
213115,1481,1481,Nonmetallic minerals services (except fuels)
213115P,NA,1481P,Primary products
2131158,NA,14818,Nonmetallic minerals services (except fuels)
213115SM,NA,1481SM,Secondary products and miscellaneous receipts
213115M,NA,1481M,Miscellaneous receipts
213115S,NA,1481S,Secondary products
212399,1499,1499,Miscellaneous nonmetallic minerals
212399P,NA,1499P,Primary products
212399A,NA,1499A,Miscellaneous nonmetallic minerals
212399SM,NA,1499SM,Secondary products and miscellaneous receipts
212399M,NA,1499M,Miscellaneous receipts
212399S,NA,1499S,Secondary products
311611,2011,2011,Meat packing plants
311611P,NA,2011P,Primary products
311611T,NA,2011C,Miscellaneous by-products of meat packing; mitse
3116111,NA,20111,"Fresh and frozen beef, not canned or made into sausage; mitse"
31161111,NA,2011112,Whole or half carcass & primal beef cuts not canned or made into sausage; mitse
31161112,NA,2011116,Subprimal & fabricated beef cuts however packed incl. plastic lined boxes; mitse
31161113,NA,2011131,"Fresh/frozen boneless beef incl hamburger, not canned/made into sausage; mitse"
31161114,NA,2011181,"Other fresh/frozen beef incl. corned or organ cuts, not canned or sausage; mitse"
3116114,NA,20112,Fresh and frozen veal not canned or made into sausage; mitse
3116117,NA,20113,"Fresh and frozen lamb or mutton, not canned or made into sausage; mitse"
311611A,NA,20114,"Fresh and frozen pork, not canned or made into sausage; mitse"
311611D,NA,20115,Lard; mitse
311611G,NA,20116,"Pork, processed or cured, but not canned or made into sausage; mitse"
311611J,NA,20117,"Sausages and similar products, but not canned; mitse"
311611N,NA,20118,"Canned meats (except dog, cat, and baby food); mitse"
311611Q,NA,20119,"Hides, skins, and pelts; mitse"
311611SM,NA,2011SM,Secondary products and miscellaneous receipts
311611M,NA,2011M,Miscellaneous receipts
NA,NA,2011XY9,Contract work and other miscellaneous receipts
NA,NA,2011Z89,Resales
311611S,NA,2011S,Secondary products
NA,NA,2011SS,Secondary products
311612,2013,2013,"Sausages and other prepared meat products, made from purchased material"
311612P,NA,2013P,Primary products
311612A,NA,2013B,"Other processed, frozen, or cooked meats, not made in meat packing plants"
311612A2,NA,2013B11,"Frozen ground meat patties (processed, frozen, or cooked)"
311612A3,NA,2013B13,"Frozen portion control meats (processed, frozen, or cooked)"
311612A4,NA,2013B19,"Other processed, frozen, or cooked meats, not made in meat packing plants"
3116121,NA,20136,"Pork, processed or cured, including frozen not canned or made into sausage"
NA,NA,2013631,"Smoked pork hams and picnics (not otherwise cooked), except canned"
NA,NA,2013641,"Smoked pork sliced bacon (not otherwise cooked), not canned"
NA,NA,2013661,"Boiled ham, barbecue pork, and other cooked pork, exc. canned meats and sausage"
NA,NA,2013662,"Other pork products (not otherwise cooked), not canned or made into sausage"
3116124,NA,20137,"Sausage and similar products, except canned, not made in meat packing plants"
31161241,NA,2013711,"Fresh sausage (pork sausage, breakfast links, etc.), except canned"
31161242,NA,2013717,"Dry or semidry sausage and similar products (pepperoni, summer sausage, etc.)"
31161243,NA,2013721,"Frankfurters, including wieners, except canned, not made in meat packing plants"
31161244,NA,2013736,"Other sausage, smoked or cooked, and jellied goods and similar preparations"
3116127,NA,20138,"Canned meats (except dog, cat, and baby food) containing 20 percent or more meat"
311612SM,NA,2013SM,Secondary products and miscellaneous receipts
311612M,NA,2013M,Miscellaneous receipts
NA,NA,2013Z89,Resales
311612S,NA,2013S,Secondary products
NA,NA,2013SS,Secondary Products
311615,2015,2015,Poultry and egg processing
311615P,NA,2015P,Primary products
3116151,NA,20151,"Young chickens (usually under 20 weeks of age), whole or parts"
3116151111,NA,2015133,Bulk wet ice pack broilers and fryers
3116151221,NA,2015134,"Bulk dry ice packed broilers and fryers, and roasters, and capons incl. frozen"
3116151331,NA,2015136,"Tray pack broilers and fryers (consumer packaged), chilled"
3116151441,NA,2015139,"Other broilers and fryers, including frozen"
NA,NA,20152,Hens and/or fowls (including frozen whole or parts)
3116157,NA,20153,Turkeys (including frozen whole or parts)
NA,NA,2015329,Whole turkeys (including frozen)
NA,NA,2015398,"Turkey parts incl. ground turkey and turkey cutlets, etc. (including frozen)"
NA,NA,20154,"Other poultry and small game (including frozen, whole or parts)"
311615D,NA,20155,Processed poultry & small game (has 20 percent or more poultry/meat) excl. soups
NA,NA,2015531,"Cooked or smoked turkey incl. frozen, excl. franks, hams and luncheon meats"
NA,NA,2015532,"Cooked or smoked chicken incl. frozen, excl. franks, hams and luncheon meats"
NA,NA,2015535,"All other cooked or smoked poultry incl frankfurters, hams and luncheon meats"
NA,NA,2015536,"Other processed poultry & small game, not cooked or smoked incl. canned & frozen"
311999G,NA,20159,"Liquid, dried, and frozen eggs"
311615SM,NA,2015SM,Secondary products and miscellaneous receipts
311615M,NA,2015M,Miscellaneous receipts
NA,NA,2015Z89,Resales
311615S,NA,2015S,Secondary products
NA,NA,2015SS,Secondary products
311512,2021,2021,Creamery butter
311512P,NA,2021P,Primary products
3115121,NA,20211,Creamery butter
NA,NA,2021115,"Creamery butter, shipped in consumer packages (containers 3 lbs. or less)"
NA,NA,2021116,"Butter, shipped bulk (containers more than 3 lbs.) incl. anhydrous butterfat"
311512SM,NA,2021SM,Secondary products and miscellaneous receipts
311512M,NA,2021M,Miscellaneous receipts
311512S,NA,2021S,Secondary products
NA,NA,2021SS,Secondary products
311513,2022,2022,Natural and processed cheese
311513P,NA,2022P,Primary products
3115133,NA,20223,"Natural cheese, except cottage cheese"
311513302,NA,2022302,American-type cheese
31151330201,NA,202230201,Cheddar cheese
31151330211,NA,202230211,Other American-type cheese
311513303,NA,2022303,Italian-type cheese
31151330301,NA,202230301,Mozzarella cheese
31151330311,NA,202230311,Other Italian-type cheese
311513305,NA,2022305,Swiss cheese
311513307,NA,2022307,Cream and Neufchatel cheese
311513311,NA,2022311,"Other natural cheese, except cottage"
3115134,NA,20224,Processed cheese and related products
311513411,NA,2022411,Processed cheese
311513413,NA,2022413,Cheese food
311513415,NA,2022415,Cheese spread
311513419,NA,2022419,Other related processed cheese products
3115135,NA,20225,Cheese substitutes
311513SM,NA,2022SM,Secondary products and miscellaneous receipts
311513M,NA,2022M,Miscellaneous receipts
NA,NA,2022Z89,Resales
311513S,NA,2022S,Secondary products
311512S,NA,2021S,Creamery butter
NA,NA,2022SS,Other secondary products
311514S,NA,2023S,"Dry, condensed, and evaporated milk"
311511S,NA,2026S,Fluid milk
311514,2023,2023,"Dry, condensed, and evaporated milk products"
311514P,NA,2023P,Primary products
3115141,NA,20235,"Dry milk products and mixtures incl. ndm, and all feed grade dry milk"
3115144,NA,20236,"Canned milk products, consumer cans incl.evap. and condensed, excl. substitutes"
3115147,NA,20237,"Concentrated milk products shipped in bulk (drums, tanks etc.) excl. substitutes"
311514A,NA,20238,"Ice cream mixes and related products incl.yogurt, ice milk, and milkshake mixes"
311514D,NA,20239,"Dairy product substitutes, incl. dry coffee whiteners, and infants' formula etc"
311514SM,NA,2023SM,Secondary products and miscellaneous receipts
311514M,NA,2023M,Miscellaneous receipts
NA,NA,2023XY9,Contract work and other miscellaneous receipts
NA,NA,2023Z89,Resales
311514S,NA,2023S,Secondary products
NA,NA,2023SS,Secondary products
311520,2024,2024,Ice cream and frozen desserts
311520P,NA,2024P,Primary products
3115201,NA,20241,Ice cream and frozen desserts
3115201A,NA,20241A,Conventional ice cream or custard and reduced fat ice cream (ice milk)
311520114,NA,2024114,Bulk ice cream or custard with conventional fat content (3 gallons or more)
311520115,NA,2024115,Consumer-size ice cream and custard (16 oz. to less than 3 gallons)
31152011502,NA,202411502,Superpremium and premium
31152011503,NA,202411503,Regular and economy
311520117,NA,2024117,Novelty forms of ice cream & custard (conventional fat content)
311520119,NA,2024119,"Reduced fat/nonfat ice cream (ice milk); all forms (bulk, consumer, or novelty)"
3115201B,NA,20241B,Frozen dairy and nondairy desserts other than ice cream or ice milk
311520121,NA,2024121,Frozen yogurt; including nonfat
311520123,NA,2024123,"Other frozen desserts; e.g., tofu, mellorine, sherbets, sorbets, ices, & pops"
311520SM,NA,2024SM,Secondary products and miscellaneous receipts
311520M,NA,2024M,Miscellaneous receipts
311520S,NA,2024S,Secondary products
NA,NA,2024SS,Secondary products
311511,2026,2026,Fluid milk
311511P,NA,2026P,Primary products
3115111,NA,20261,Bulk fluid milk and cream
3115114,NA,20262,Packaged fluid milk and related products
31151141,NA,2026212,"Fluid whole milk, packaged (including U.H.T.)"
31151142,NA,2026223,"Lowfat milk, 0.5-2.0% butterfat, packaged (including U.H.T.)"
31151143,NA,2026225,"Skim milk, packaged (including U.H.T"
31151144,NA,2026299,"Creams, half-and-half, and dairy-based whipped toppings"
3115117,NA,20263,"Cottage cheese (including farmers' cheese, pot cheese, and bakers' cheese)"
311511A,NA,20265,"Yogurt, except frozen"
311511D,NA,20267,Perishable dairy product substitutes
311511G,NA,20268,"Other milk products, nec"
311511SM,NA,2026SM,Secondary products and miscellaneous receipts
311511M,NA,2026M,Miscellaneous receipts
NA,NA,2026Z89,Resales
311511S,NA,2026S,Secondary products
NA,NA,2026SS,Secondary products
311422,2032,2032,Canned specialties
311422P,NA,2032P,Primary products
3114221,NA,20321,"Canned baby foods, except cereal and biscuits"
3114222,NA,20322,"Canned soups, except frozen or seafood"
3114223,NA,20323,Canned dry beans including baked
3114224,NA,20324,Canned specialty foods
311422SM,NA,2032SM,Secondary products and miscellaneous receipts
311422M,NA,2032M,Miscellaneous receipts
311422S,NA,2032S,Secondary products
NA,NA,2032SS,Secondary products
311421,2033,2033,"Canned fruits, vegetables, preserves, jams and jellies"
311421P,NA,2033P,Primary products
311421J,NA,2033A,"Canned fruit juices, nectars and concentrates"
311421N,NA,2033B,"Fresh fruit juices and nectars, single strength"
3114211,NA,20331,"Canned fruits, except baby foods"
3114214,NA,20332,"Canned vegetables, except hominy and mushrooms"
NA,NA,20333,Canned hominy and mushrooms
NA,NA,20335,Canned vegetable juices
311421D,NA,20336,"Catsup, and other canned tomato sauces, pastes, etc"
311421G,NA,20338,"Canned jams, jellies, and preserves"
311421SM,NA,2033SM,Secondary products and miscellaneous receipts
311421M,NA,2033M,Miscellaneous receipts
NA,NA,2033MM,Miscellaneous receipts
311421S,NA,2033S,Secondary products
NA,NA,2033SS,Secondary products
311423,2034,2034,"Dried & dehydrated fruits, vegetables, & soup mixes"
311423P,NA,2034P,Primary products
3114234,NA,2034A,Dried fruits and vegetables
NA,NA,203411,Dried fruits
NA,NA,203421,Dried vegetables
NA,NA,2034213,"Dehydrated potatoes, except potato flour"
NA,NA,2034214,Dried Onions
NA,NA,2034219,"Other dried vegetables & vegetable flours, including potato flour"
3114231,NA,2034B,Dried soup mixes
311423SM,NA,2034SM,Secondary products and miscellaneous receipts
311423M,NA,2034M,Miscellaneous receipts
311423S,NA,2034S,Secondary products
NA,NA,2034SS,Secondary products
NA,2035,2035,"Pickled fruits and vegetables, vegetable sauces and seasonings, and salad dressings"
311941P,NA,2035P,Primary products
311421Q,NA,20352,Pickles and other pickled products
3119414,NA,20353,Prepared meat sauces (except tomato-based)
3119417,NA,20354,"Mayonnaise, salad dressings and sandwich spreads"
NA,NA,2035419,Spoon type dressing
NA,NA,2035435,Pourable salad dressings (regular or low calorie)
311941SM,NA,2035SM,Secondary products and miscellaneous receipts
311941M,NA,2035M,Miscellaneous receipts
311941S,NA,2035S,Secondary products
311411,2037,2037,Frozen fruits and vegetables
311411P,NA,2037P,Primary production
3114111,NA,20371,"Frozen fruits & concentrated juices, ades, drinks, and nonalcoholic cocktails"
3114111A,NA,20371A,"Frozen fruits, melons, and berries"
3114111B,NA,20371B,Frozen concentrated fruit and berry juices
311411179,NA,2037179,Frozen concentrated orange juice
311411195,NA,2037195,Other frozen concentrated fruit and berry juices
3114111C,NA,20371C,Frozen concentrated fruit ades and nonalcoholic drinks and cocktails
311411197,NA,2037197,Citrus pulp and other nonedible citrus byproducts
3114112,NA,20372,Frozen vegetable and potato products including combinations
311411214,NA,2037214,"Frozen vegetables, except for potato products and vegetable combinations"
311411245,NA,2037245,"Frozen vegetable combinations including those mixed with sauces, rice, & pasta"
311411248,NA,2037248,Frozen french fried potatoes
311411249,NA,2037249,"Other frozen potato products, including hashbrowns, patties, puffs, etc"
311411SM,NA,2037SM,Secondary products and miscellaneous receipts
311411M,NA,2037M,Miscellaneous receipts
311411S,NA,2037S,Secondary products
311412,2038,2038,"Frozen specialties, nec"
311412P,NA,2038P,Primary products
3114122,NA,20382,"Frozen dinners, entrees and side dishes"
311412223,NA,2038223,Frozen dinners
311412226,NA,2038226,Frozen entrees and side dishes (excluding rice dishes and nationality foods)
311412252,NA,2038252,Frozen pizza
311412299,NA,2038299,"All other frozen dinner foods incl. meat pies, nationality foods and rice dishes"
3114124,NA,20384,Other frozen specialties
311412463,NA,2038463,"Frozen waffles, pancakes, and french toast"
311412469,NA,2038469,"Other frozen specialties, except seafood, including soups, and whipped topping"
311412SM,NA,2038SM,Secondary products and miscellaneous receipts
311412M,NA,2038M,Miscellaneous receipts
311412S,NA,2038S,Secondary products
NA,NA,2038SS,Secondary products
311211,2041,2041,Flour and other grain mill products
311211P,NA,2041P,Primary products
3112111,NA,20411,"Wheat flour, except flour mixes"
NA,NA,204115,White flour
NA,NA,2041152,Bakers' and institutional flour
NA,NA,20411521,White bread-type flour
NA,NA,204115218,Bakers' and institutional white bread-type flour shipped in bulk
NA,NA,204115219,Bakers' and institutional white bread-type flour shipped in containers
NA,NA,20411522,Bakers' and institutional soft wheat flour
NA,NA,2041153,Family white flour including self-rising family flour
NA,NA,2041154,All other white flour including white flour for export or further processing
NA,NA,204116,"All other wheat flour, incl. whole wheat, durum, semolina, bulgur, and farina"
3112114,NA,20412,"Wheat mill products other than flour incl mill feed, germ, bran, etc"
3112117,NA,20413,Corn mill products
311211A,NA,20415,Flour mixes and refrigerated and frozen doughs and batters
311211D,NA,20416,Other grain mill products incl. rye flour and other mill feed
311211SM,NA,2041SM,Secondary products and miscellaneous receipts
311211M,NA,2041M,Miscellaneous receipts
NA,NA,2041Z89,Resales
311211S,NA,2041S,Secondary products
NA,NA,2041SS,Secondary products
311230,2043,2043,Cereal breakfast foods
311230P,NA,2043P,Primary products
3112301,NA,20431,Ready to serve cereal breakfast foods
311230111,NA,2043111,Corn flakes and other corn breakfast foods
311230112,NA,2043112,Wheat flakes and other wheat breakfast foods
311230115,NA,2043115,Oat breakfast foods
311230118,NA,2043118,Rice and other grains and mixed grain breakfast foods and preparations
3112304,NA,20434,"Other cereal breakfast foods, incl infant, instant hot, & cooked before serving"
311230SM,NA,2043SM,Secondary products and miscellaneous receipts
311230M,NA,2043M,Miscellaneous receipts
311230S,NA,2043S,Secondary products
311212,2044,2044,Rice milling
311212P,NA,2044P,Primary products
31121211,NA,2044301,Head rice packed in bags 100 lbs or more
31121212,NA,2044401,Head rice packed in containers 3 lbs or less
31121213,NA,2044501,Head rice packed in all other size containers
31121214,NA,2044601,Milled rice (and byproducts)
311212SM,NA,2044SM,Secondary products and miscellaneous receipts
311212M,NA,2044M,Miscellaneous receipts
311212S,NA,2044S,Secondary products
311822,2045,2045,Prepared flour mixes and doughs
311822P,NA,2045P,Primary products
3118226,NA,20456,"Flour mixes and refrigerated and frozen doughs and batters, made from purchased"
31182261,NA,204561,Flour mixes
311822611,NA,2045611,"Cake mixes, including gingerbread"
311822613,NA,2045613,"All other flour based mixes, except cake mixes"
31182264,NA,204564,"Refrigerated doughs and batters incl bread, bread-type rolls, and biscuit dough"
31182266,NA,204566,Frozen doughs and batters
311822661,NA,2045661,"Frozen bread and bread-type-roll doughs, all sizes"
311822662,NA,2045662,"All other frozen doughs and batters, incl. cookie, pizza, coffee cake, etc"
311822SM,NA,2045SM,Secondary products and miscellaneous receipts
311822M,NA,2045M,Miscellaneous receipts
NA,NA,2045Z89,Resales
311822S,NA,2045S,Secondary products
NA,NA,2045SS,Secondary products
311221,2046,2046,Wet corn milling
311221P,NA,2046P,Primary products
3112211,NA,20461,"Corn sweeteners (liquids and solids), incl. glucose, dextrose, and HFCS"
3112214,NA,20463,Manufactured starch
3112217,NA,20465,"Corn oil, including crude and fully refined"
311221A,NA,20467,Wet process corn byproducts
311221SM,NA,2046SM,Secondary products and miscellaneous receipts
311221M,NA,2046M,Miscellaneous receipts
311221S,NA,2046S,Secondary products
NA,NA,2046SS,Secondary products
311111,2047,2047,Dog and cat food
311111P,NA,2047P,Primary products
3111113,NA,20473,Dog food
311111324,NA,2047324,"Canned dog food, including ration type"
311111326,NA,2047326,Dry and semimoist dog food in packages of less than 25 pounds
311111338,NA,2047338,Dry and semimoist dog food in packages of 25 pounds or more
3111114,NA,20474,Cat food
311111401,NA,2047401,Canned cat food
311111402,NA,2047402,Dry and semimoist cat food
311111SM,NA,2047SM,Secondary products and miscellaneous receipts
311111M,NA,2047M,Miscellaneous receipts
311111S,NA,2047S,Secondary products
311119,2048,2048,"Prepared animal feeds, nec"
311119P,NA,2048P,Primary products
311119T,NA,2048A,Specialty feeds
3111191,NA,20481,"Chicken and turkey feed, supplements, concentrates, and premixes"
31111912,NA,2048116,Broiler complete chicken feed
31111911,NA,2048117,Other complete chicken feed
31111913,NA,2048135,"Other chicken and turkey feed supplements, concentrates, and premixes"
3111194,NA,20482,Complete dairy cattle feeds
3111197,NA,20483,"Dairy cattle feed supplements, concentrates, and premixes"
311119A,NA,20484,Complete swine feeds
311119D,NA,20485,"Swine feed supplements, concentrates, and premixes"
311119G,NA,20486,Complete beef cattle feeds
311119J,NA,20487,"Beef cattle feed supplements, concentrates, and premixes"
311119N,NA,20488,"Other poultry and livestock feeds, including duck, goose, horse, mule, etc"
311119Q,NA,20489,Other prepared animal feeds incl. feeding materials and adjuncts
311119SM,NA,2048SM,Secondary products and miscellaneous receipts
311119M,NA,2048M,Miscellaneous receipts
NA,NA,2048XY9,Contract work and other miscellaneous receipts
NA,NA,2048Z89,Resales
311119S,NA,2048S,Secondary products
311812,2051,2051,"Bread and other bakery products, except cookies and crackers"
311812P,NA,2051P,Primary products
3118121,NA,20511,Bread
