sic_industry,sic_product,sic_title,naics_product
1422,1422212,East South Central division,NA
1422,1422213,West South Central division,NA
1422,142222,Northeast region,NA
1422,142223,West region,NA
1422,1422SM,Secondary products and miscellaneous receipts,212312SM
1422,1422M,Miscellaneous receipts,212312M
1422,1422S,Secondary products,212312S
1423,1423,"Crushed and broken granite, nec",212313
1423,1423P,Primary products,212313P
NA,142311101,South Atlantic region,NA
NA,142311102,Other regions,NA
NA,1423SM,Secondary products and miscellaneous receipts,212313SM
NA,1423M,Miscellaneous receipts,212313M
NA,1423S,Secondary products,212313S
1429,1429,"Crushed and broken stone, nec",212319
1429,1429P,Primary products,212319P
1429,14291,"Crushed and broken stone, nec",2123191
1429,1429SM,Secondary products and miscellaneous receipts,212319SM
1429,1429M,Miscellaneous receipts,212319M
1429,1429S,Secondary products,212319S
1442,1442,Construction sand and gravel,212321
1442,1442P,Primary products,212321P
1442,14423,Construction sand,2123213
1442,14423A,Northeastern Region,2123213A
1442,14423B,North Central Region,2123213B
1442,14423C,Southern Region,2123213C
1442,14423D,Western Region,2123213D
1442,144238,Mountain,21232138
1442,144239,Pacific,21232139
1442,14425,Construction gravel,2123215
1442,14425A,Northeastern Region,2123215A
1442,14425B,North Central Region,2123215B
1442,14425C,Southern Region,2123215C
1442,14425D,Western Region,2123215D
1442,144258,Mountain,21232158
1442,144259,Pacific,21232159
1442,1442SM,Secondary products and miscellaneous receipts,212321SM
1442,1442M,Miscellaneous receipts,212321M
1442,1442XY9,Contract work and other miscellaneous receipts,NA
1442,1442Z89,Resales,NA
1442,1442S,Secondary products,212321S
1442,1442SS,Secondary products,NA
1446,1446,Industrial sand,212322
1446,1446P,Primary products,212322P
1446,14461,Glass sand,2123221
1446,14465,Molding sand,2123225
1446,14469,"Other industrial sand, nec",2123229
1446,1446SM,Secondary products and miscellaneous receipts,212322SM
1446,1446M,Miscellaneous receipts,212322M
1446,1446S,Secondary products,212322S
1446,1446SS,Secondary products,NA
1455,1455,Kaolin and ball clay,212324
1455,1455P,Primary products,212324P
1455,14551,Crude kaolin and ball clay,2123241
1455,14552,Prepared kaolin and ball clay,2123242
1455,1455SM,Secondary products and miscellaneous receipts,212324SM
1455,1455M,Miscellaneous receipts,212324M
1455,1455S,Secondary products,212324S
1459,1459,"Clay and related minerals, nece",212325
1459,1459P,Primary products,212325P
1459,14591,Bentonite,2123251
1459,14592,Fire clay,2123252
1459,14593,Fuller's earth,2123253
1459,14596,Feldspar,2123256
1459,14597,Common clay and shale,2123257
1459,14599,Other clay and related minerals,2123259
1459,1459SM,Secondary products and miscellaneous receipts,212325SM
1459,1459M,Miscellaneous receipts,212325M
1459,1459S,Secondary products,212325S
1459,1459SS,Secondary products,NA
1474,1474,"Potash, soda, and borate minerals",212391
1474,1474P,Primary products,212391P
1474,14741,Crude potassium salts,2123911
1474,14742,Processed or refined potassium salts,2123912
1474,14743,Natural sodium carbonates and sulfates,2123913
1474,14744,Boron compounds,2123914
1474,1474SM,Secondary products and miscellaneous receipts,212391SM
1474,1474M,Miscellaneous receipts,212391M
1474,1474S,Secondary products,212391S
1474,1474SS,Secondary products,NA
1475,1475,Phosphate rock,212392
1475,1475P,Primary products,212392P
NA,14751,Crude phosphate ore or matrix,2123921
NA,1475101,Crude phosphate ore or matrix,NA
NA,14752,Processed phosphate rock,2123922
NA,1475201,Washed or concentrated phosphate rock,212392201
NA,1475206,Dried phosphate rock,212392206
NA,1475208,Calcined or sintered phosphate rock,212392208
NA,1475SM,Secondary products and miscellaneous receipts,212392SM
NA,1475M,Miscellaneous receipts,212392M
NA,1475S,Secondary products,212392S
1479,1479,"Chemical and fertilizer mineral mining, nec",212393
1479,1479P,Primary products,212393P
1479,14791,Barite,2123931
1479,14792,Fluorspar,2123932
1479,14793,Rock salt,2123933
1479,14794,Sulfur,2123934
1479,14799,"Chemical and fertilizer mineral mining, nec",2123939
1479,1479SM,Secondary products and miscellaneous receipts,212393SM
1479,1479M,Miscellaneous receipts,212393M
1479,1479S,Secondary products,212393S
1481,1481,Nonmetallic minerals services (except fuels),213115
1481,1481P,Primary products,213115P
1481,14818,Nonmetallic minerals services (except fuels),2131158
1481,1481SM,Secondary products and miscellaneous receipts,213115SM
1481,1481M,Miscellaneous receipts,213115M
1481,1481S,Secondary products,213115S
1499,1499,Miscellaneous nonmetallic minerals,212399
1499,1499P,Primary products,212399P
1499,1499A,Miscellaneous nonmetallic minerals,212399A
1499,1499SM,Secondary products and miscellaneous receipts,212399SM
1499,1499M,Miscellaneous receipts,212399M
1499,1499S,Secondary products,212399S
2011,2011,Meat packing plants,311611
2011,2011P,Primary products,311611P
2011,2011C,Miscellaneous by-products of meat packing; mitse,311611T
2011,20111,"Fresh and frozen beef, not canned or made into sausage; mitse",3116111
2011,2011112,Whole or half carcass & primal beef cuts not canned or made into sausage; mitse,31161111
2011,2011116,Subprimal & fabricated beef cuts however packed incl. plastic lined boxes; mitse,31161112
2011,2011131,"Fresh/frozen boneless beef incl hamburger, not canned/made into sausage; mitse",31161113
2011,2011181,"Other fresh/frozen beef incl. corned or organ cuts, not canned or sausage; mitse",31161114
2011,20112,Fresh and frozen veal not canned or made into sausage; mitse,3116114
2011,20113,"Fresh and frozen lamb or mutton, not canned or made into sausage; mitse",3116117
2011,20114,"Fresh and frozen pork, not canned or made into sausage; mitse",311611A
2011,20115,Lard; mitse,311611D
2011,20116,"Pork, processed or cured, but not canned or made into sausage; mitse",311611G
2011,20117,"Sausages and similar products, but not canned; mitse",311611J
2011,20118,"Canned meats (except dog, cat, and baby food); mitse",311611N
2011,20119,"Hides, skins, and pelts; mitse",311611Q
2011,2011SM,Secondary products and miscellaneous receipts,311611SM
2011,2011M,Miscellaneous receipts,311611M
2011,2011XY9,Contract work and other miscellaneous receipts,NA
2011,2011Z89,Resales,NA
2011,2011S,Secondary products,311611S
2011,2011SS,Secondary products,NA
2013,2013,"Sausages and other prepared meat products, made from purchased material",311612
2013,2013P,Primary products,311612P
2013,2013B,"Other processed, frozen, or cooked meats, not made in meat packing plants",311612A
2013,2013B11,"Frozen ground meat patties (processed, frozen, or cooked)",311612A2
2013,2013B13,"Frozen portion control meats (processed, frozen, or cooked)",311612A3
2013,2013B19,"Other processed, frozen, or cooked meats, not made in meat packing plants",311612A4
2013,20136,"Pork, processed or cured, including frozen not canned or made into sausage",3116121
2013,2013631,"Smoked pork hams and picnics (not otherwise cooked), except canned",NA
2013,2013641,"Smoked pork sliced bacon (not otherwise cooked), not canned",NA
2013,2013661,"Boiled ham, barbecue pork, and other cooked pork, exc. canned meats and sausage",NA
2013,2013662,"Other pork products (not otherwise cooked), not canned or made into sausage",NA
2013,20137,"Sausage and similar products, except canned, not made in meat packing plants",3116124
2013,2013711,"Fresh sausage (pork sausage, breakfast links, etc.), except canned",31161241
2013,2013717,"Dry or semidry sausage and similar products (pepperoni, summer sausage, etc.)",31161242
2013,2013721,"Frankfurters, including wieners, except canned, not made in meat packing plants",31161243
2013,2013736,"Other sausage, smoked or cooked, and jellied goods and similar preparations",31161244
2013,20138,"Canned meats (except dog, cat, and baby food) containing 20 percent or more meat",3116127
2013,2013SM,Secondary products and miscellaneous receipts,311612SM
2013,2013M,Miscellaneous receipts,311612M
2013,2013Z89,Resales,NA
NA,2013S,Secondary products,311612S
NA,2013SS,Secondary Products,NA
2015,2015,Poultry and egg processing,311615
2015,2015P,Primary products,311615P
2015,20151,"Young chickens (usually under 20 weeks of age), whole or parts",3116151
2015,2015133,Bulk wet ice pack broilers and fryers,3116151111
2015,2015134,"Bulk dry ice packed broilers and fryers, and roasters, and capons incl. frozen",3116151221
2015,2015136,"Tray pack broilers and fryers (consumer packaged), chilled",3116151331
2015,2015139,"Other broilers and fryers, including frozen",3116151441
2015,20152,Hens and/or fowls (including frozen whole or parts),NA
2015,20153,Turkeys (including frozen whole or parts),3116157
2015,2015329,Whole turkeys (including frozen),NA
2015,2015398,"Turkey parts incl. ground turkey and turkey cutlets, etc. (including frozen)",NA
2015,20154,"Other poultry and small game (including frozen, whole or parts)",NA
2015,20155,Processed poultry & small game (has 20 percent or more poultry/meat) excl. soups,311615D
2015,2015531,"Cooked or smoked turkey incl. frozen, excl. franks, hams and luncheon meats",NA
2015,2015532,"Cooked or smoked chicken incl. frozen, excl. franks, hams and luncheon meats",NA
2015,2015535,"All other cooked or smoked poultry incl frankfurters, hams and luncheon meats",NA
2015,2015536,"Other processed poultry & small game, not cooked or smoked incl. canned & frozen",NA
2015,20159,"Liquid, dried, and frozen eggs",311999G
2015,2015SM,Secondary products and miscellaneous receipts,311615SM
2015,2015M,Miscellaneous receipts,311615M
2015,2015Z89,Resales,NA
2015,2015S,Secondary products,311615S
2015,2015SS,Secondary products,NA
2021,2021,Creamery butter,311512
2021,2021P,Primary products,311512P
2021,20211,Creamery butter,3115121
2021,2021115,"Creamery butter, shipped in consumer packages (containers 3 lbs. or less)",NA
2021,2021116,"Butter, shipped bulk (containers more than 3 lbs.) incl. anhydrous butterfat",NA
2021,2021SM,Secondary products and miscellaneous receipts,311512SM
2021,2021M,Miscellaneous receipts,311512M
2021,2021S,Secondary products,311512S
2021,2021SS,Secondary products,NA
2022,2022,Natural and processed cheese,311513
2022,2022P,Primary products,311513P
2022,20223,"Natural cheese, except cottage cheese",3115133
2022,2022302,American-type cheese,311513302
2022,202230201,Cheddar cheese,31151330201
2022,202230211,Other American-type cheese,31151330211
2022,2022303,Italian-type cheese,311513303
2022,202230301,Mozzarella cheese,31151330301
2022,202230311,Other Italian-type cheese,31151330311
2022,2022305,Swiss cheese,311513305
2022,2022307,Cream and Neufchatel cheese,311513307
2022,2022311,"Other natural cheese, except cottage",311513311
2022,20224,Processed cheese and related products,3115134
2022,2022411,Processed cheese,311513411
2022,2022413,Cheese food,311513413
2022,2022415,Cheese spread,311513415
2022,2022419,Other related processed cheese products,311513419
2022,20225,Cheese substitutes,3115135
2022,2022SM,Secondary products and miscellaneous receipts,311513SM
2022,2022M,Miscellaneous receipts,311513M
2022,2022Z89,Resales,NA
2022,2022S,Secondary products,311513S
2022,2021S,Creamery butter,311512S
2022,2022SS,Other secondary products,NA
2022,2023S,"Dry, condensed, and evaporated milk",311514S
2022,2026S,Fluid milk,311511S
2023,2023,"Dry, condensed, and evaporated milk products",311514
2023,2023P,Primary products,311514P
2023,20235,"Dry milk products and mixtures incl. ndm, and all feed grade dry milk",3115141
2023,20236,"Canned milk products, consumer cans incl.evap. and condensed, excl. substitutes",3115144
2023,20237,"Concentrated milk products shipped in bulk (drums, tanks etc.) excl. substitutes",3115147
2023,20238,"Ice cream mixes and related products incl.yogurt, ice milk, and milkshake mixes",311514A
2023,20239,"Dairy product substitutes, incl. dry coffee whiteners, and infants' formula etc",311514D
2023,2023SM,Secondary products and miscellaneous receipts,311514SM
2023,2023M,Miscellaneous receipts,311514M
2023,2023XY9,Contract work and other miscellaneous receipts,NA
2023,2023Z89,Resales,NA
2023,2023S,Secondary products,311514S
2023,2023SS,Secondary products,NA
2024,2024,Ice cream and frozen desserts,311520
2024,2024P,Primary products,311520P
2024,20241,Ice cream and frozen desserts,3115201
2024,20241A,Conventional ice cream or custard and reduced fat ice cream (ice milk),3115201A
2024,2024114,Bulk ice cream or custard with conventional fat content (3 gallons or more),311520114
2024,2024115,Consumer-size ice cream and custard (16 oz. to less than 3 gallons),311520115
2024,202411502,Superpremium and premium,31152011502
2024,202411503,Regular and economy,31152011503
2024,2024117,Novelty forms of ice cream & custard (conventional fat content),311520117
2024,2024119,"Reduced fat/nonfat ice cream (ice milk); all forms (bulk, consumer, or novelty)",311520119
2024,20241B,Frozen dairy and nondairy desserts other than ice cream or ice milk,3115201B
2024,2024121,Frozen yogurt; including nonfat,311520121
2024,2024123,"Other frozen desserts; e.g., tofu, mellorine, sherbets, sorbets, ices, & pops",311520123
2024,2024SM,Secondary products and miscellaneous receipts,311520SM
2024,2024M,Miscellaneous receipts,311520M
2024,2024S,Secondary products,311520S
2024,2024SS,Secondary products,NA
2026,2026,Fluid milk,311511
2026,2026P,Primary products,311511P
2026,20261,Bulk fluid milk and cream,3115111
2026,20262,Packaged fluid milk and related products,3115114
2026,2026212,"Fluid whole milk, packaged (including U.H.T.)",31151141
2026,2026223,"Lowfat milk, 0.5-2.0% butterfat, packaged (including U.H.T.)",31151142
2026,2026225,"Skim milk, packaged (including U.H.T",31151143
2026,2026299,"Creams, half-and-half, and dairy-based whipped toppings",31151144
2026,20263,"Cottage cheese (including farmers' cheese, pot cheese, and bakers' cheese)",3115117
2026,20265,"Yogurt, except frozen",311511A
2026,20267,Perishable dairy product substitutes,311511D
2026,20268,"Other milk products, nec",311511G
2026,2026SM,Secondary products and miscellaneous receipts,311511SM
2026,2026M,Miscellaneous receipts,311511M
2026,2026Z89,Resales,NA
2026,2026S,Secondary products,311511S
2026,2026SS,Secondary products,NA
2032,2032,Canned specialties,311422
2032,2032P,Primary products,311422P
2032,20321,"Canned baby foods, except cereal and biscuits",3114221
2032,20322,"Canned soups, except frozen or seafood",3114222
2032,20323,Canned dry beans including baked,3114223
2032,20324,Canned specialty foods,3114224
2032,2032SM,Secondary products and miscellaneous receipts,311422SM
2032,2032M,Miscellaneous receipts,311422M
2032,2032S,Secondary products,311422S
2032,2032SS,Secondary products,NA
2033,2033,"Canned fruits, vegetables, preserves, jams and jellies",311421
2033,2033P,Primary products,311421P
2033,2033A,"Canned fruit juices, nectars and concentrates",311421J
2033,2033B,"Fresh fruit juices and nectars, single strength",311421N
2033,20331,"Canned fruits, except baby foods",3114211
2033,20332,"Canned vegetables, except hominy and mushrooms",3114214
2033,20333,Canned hominy and mushrooms,NA
2033,20335,Canned vegetable juices,NA
2033,20336,"Catsup, and other canned tomato sauces, pastes, etc",311421D
2033,20338,"Canned jams, jellies, and preserves",311421G
2033,2033SM,Secondary products and miscellaneous receipts,311421SM
2033,2033M,Miscellaneous receipts,311421M
2033,2033MM,Miscellaneous receipts,NA
2033,2033S,Secondary products,311421S
2033,2033SS,Secondary products,NA
2034,2034,"Dried & dehydrated fruits, vegetables, & soup mixes",311423
2034,2034P,Primary products,311423P
2034,2034A,Dried fruits and vegetables,3114234
2034,203411,Dried fruits,NA
2034,203421,Dried vegetables,NA
2034,2034213,"Dehydrated potatoes, except potato flour",NA
2034,2034214,Dried Onions,NA
2034,2034219,"Other dried vegetables & vegetable flours, including potato flour",NA
2034,2034B,Dried soup mixes,3114231
2034,2034SM,Secondary products and miscellaneous receipts,311423SM
2034,2034M,Miscellaneous receipts,311423M
2034,2034S,Secondary products,311423S
2034,2034SS,Secondary products,NA
2035,2035,"Pickled fruits and vegetables, vegetable sauces and seasonings, and salad dressings",NA
NA,2035P,Primary products,311941P
NA,20352,Pickles and other pickled products,311421Q
NA,20353,Prepared meat sauces (except tomato-based),3119414
NA,20354,"Mayonnaise, salad dressings and sandwich spreads",3119417
NA,2035419,Spoon type dressing,NA
NA,2035435,Pourable salad dressings (regular or low calorie),NA
NA,2035SM,Secondary products and miscellaneous receipts,311941SM
NA,2035M,Miscellaneous receipts,311941M
NA,2035S,Secondary products,311941S
2037,2037,Frozen fruits and vegetables,311411
2037,2037P,Primary production,311411P
2037,20371,"Frozen fruits & concentrated juices, ades, drinks, and nonalcoholic cocktails",3114111
2037,20371A,"Frozen fruits, melons, and berries",3114111A
2037,20371B,Frozen concentrated fruit and berry juices,3114111B
2037,2037179,Frozen concentrated orange juice,311411179
2037,2037195,Other frozen concentrated fruit and berry juices,311411195
2037,20371C,Frozen concentrated fruit ades and nonalcoholic drinks and cocktails,3114111C
2037,2037197,Citrus pulp and other nonedible citrus byproducts,311411197
2037,20372,Frozen vegetable and potato products including combinations,3114112
2037,2037214,"Frozen vegetables, except for potato products and vegetable combinations",311411214
2037,2037245,"Frozen vegetable combinations including those mixed with sauces, rice, & pasta",311411245
2037,2037248,Frozen french fried potatoes,311411248
2037,2037249,"Other frozen potato products, including hashbrowns, patties, puffs, etc",311411249
2037,2037SM,Secondary products and miscellaneous receipts,311411SM
2037,2037M,Miscellaneous receipts,311411M
2037,2037S,Secondary products,311411S
2038,2038,"Frozen specialties, nec",311412
2038,2038P,Primary products,311412P
2038,20382,"Frozen dinners, entrees and side dishes",3114122
2038,2038223,Frozen dinners,311412223
2038,2038226,Frozen entrees and side dishes (excluding rice dishes and nationality foods),311412226
2038,2038252,Frozen pizza,311412252
2038,2038299,"All other frozen dinner foods incl. meat pies, nationality foods and rice dishes",311412299
2038,20384,Other frozen specialties,3114124
2038,2038463,"Frozen waffles, pancakes, and french toast",311412463
2038,2038469,"Other frozen specialties, except seafood, including soups, and whipped topping",311412469
2038,2038SM,Secondary products and miscellaneous receipts,311412SM
2038,2038M,Miscellaneous receipts,311412M
2038,2038S,Secondary products,311412S
2038,2038SS,Secondary products,NA
2041,2041,Flour and other grain mill products,311211
2041,2041P,Primary products,311211P
2041,20411,"Wheat flour, except flour mixes",3112111
2041,204115,White flour,NA
2041,2041152,Bakers' and institutional flour,NA
2041,20411521,White bread-type flour,NA
2041,204115218,Bakers' and institutional white bread-type flour shipped in bulk,NA
2041,204115219,Bakers' and institutional white bread-type flour shipped in containers,NA
2041,20411522,Bakers' and institutional soft wheat flour,NA
2041,2041153,Family white flour including self-rising family flour,NA
2041,2041154,All other white flour including white flour for export or further processing,NA
2041,204116,"All other wheat flour, incl. whole wheat, durum, semolina, bulgur, and farina",NA
2041,20412,"Wheat mill products other than flour incl mill feed, germ, bran, etc",3112114
2041,20413,Corn mill products,3112117
2041,20415,Flour mixes and refrigerated and frozen doughs and batters,311211A
2041,20416,Other grain mill products incl. rye flour and other mill feed,311211D
2041,2041SM,Secondary products and miscellaneous receipts,311211SM
2041,2041M,Miscellaneous receipts,311211M
2041,2041Z89,Resales,NA
2041,2041S,Secondary products,311211S
2041,2041SS,Secondary products,NA
2043,2043,Cereal breakfast foods,311230
2043,2043P,Primary products,311230P
2043,20431,Ready to serve cereal breakfast foods,3112301
2043,2043111,Corn flakes and other corn breakfast foods,311230111
2043,2043112,Wheat flakes and other wheat breakfast foods,311230112
2043,2043115,Oat breakfast foods,311230115
2043,2043118,Rice and other grains and mixed grain breakfast foods and preparations,311230118
2043,20434,"Other cereal breakfast foods, incl infant, instant hot, & cooked before serving",3112304
2043,2043SM,Secondary products and miscellaneous receipts,311230SM
2043,2043M,Miscellaneous receipts,311230M
2043,2043S,Secondary products,311230S
2044,2044,Rice milling,311212
NA,2044P,Primary products,311212P
NA,2044301,Head rice packed in bags 100 lbs or more,31121211
NA,2044401,Head rice packed in containers 3 lbs or less,31121212
NA,2044501,Head rice packed in all other size containers,31121213
NA,2044601,Milled rice (and byproducts),31121214
NA,2044SM,Secondary products and miscellaneous receipts,311212SM
NA,2044M,Miscellaneous receipts,311212M
NA,2044S,Secondary products,311212S
2045,2045,Prepared flour mixes and doughs,311822
2045,2045P,Primary products,311822P
2045,20456,"Flour mixes and refrigerated and frozen doughs and batters, made from purchased",3118226
2045,204561,Flour mixes,31182261
2045,2045611,"Cake mixes, including gingerbread",311822611
2045,2045613,"All other flour based mixes, except cake mixes",311822613
2045,204564,"Refrigerated doughs and batters incl bread, bread-type rolls, and biscuit dough",31182264
2045,204566,Frozen doughs and batters,31182266
2045,2045661,"Frozen bread and bread-type-roll doughs, all sizes",311822661
2045,2045662,"All other frozen doughs and batters, incl. cookie, pizza, coffee cake, etc",311822662
2045,2045SM,Secondary products and miscellaneous receipts,311822SM
2045,2045M,Miscellaneous receipts,311822M
2045,2045Z89,Resales,NA
2045,2045S,Secondary products,311822S
2045,2045SS,Secondary products,NA
2046,2046,Wet corn milling,311221
2046,2046P,Primary products,311221P
2046,20461,"Corn sweeteners (liquids and solids), incl. glucose, dextrose, and HFCS",3112211
2046,20463,Manufactured starch,3112214
2046,20465,"Corn oil, including crude and fully refined",3112217
2046,20467,Wet process corn byproducts,311221A
2046,2046SM,Secondary products and miscellaneous receipts,311221SM
2046,2046M,Miscellaneous receipts,311221M
2046,2046S,Secondary products,311221S
2046,2046SS,Secondary products,NA
2047,2047,Dog and cat food,311111
2047,2047P,Primary products,311111P
2047,20473,Dog food,3111113
2047,2047324,"Canned dog food, including ration type",311111324
2047,2047326,Dry and semimoist dog food in packages of less than 25 pounds,311111326
2047,2047338,Dry and semimoist dog food in packages of 25 pounds or more,311111338
2047,20474,Cat food,3111114
2047,2047401,Canned cat food,311111401
2047,2047402,Dry and semimoist cat food,311111402
2047,2047SM,Secondary products and miscellaneous receipts,311111SM
2047,2047M,Miscellaneous receipts,311111M
2047,2047S,Secondary products,311111S
2048,2048,"Prepared animal feeds, nec",311119
2048,2048P,Primary products,311119P
2048,2048A,Specialty feeds,311119T
2048,20481,"Chicken and turkey feed, supplements, concentrates, and premixes",3111191
2048,2048116,Broiler complete chicken feed,31111912
2048,2048117,Other complete chicken feed,31111911
2048,2048135,"Other chicken and turkey feed supplements, concentrates, and premixes",31111913
2048,20482,Complete dairy cattle feeds,3111194
2048,20483,"Dairy cattle feed supplements, concentrates, and premixes",3111197
2048,20484,Complete swine feeds,311119A
2048,20485,"Swine feed supplements, concentrates, and premixes",311119D
2048,20486,Complete beef cattle feeds,311119G
2048,20487,"Beef cattle feed supplements, concentrates, and premixes",311119J
2048,20488,"Other poultry and livestock feeds, including duck, goose, horse, mule, etc",311119N
2048,20489,Other prepared animal feeds incl. feeding materials and adjuncts,311119Q
2048,2048SM,Secondary products and miscellaneous receipts,311119SM
2048,2048M,Miscellaneous receipts,311119M
2048,2048XY9,Contract work and other miscellaneous receipts,NA
2048,2048Z89,Resales,NA
2048,2048S,Secondary products,311119S
2051,2051,"Bread and other bakery products, except cookies and crackers",311812
2051,2051P,Primary products,311812P
2051,20511,Bread,3118121
2051,2051123,"White pan bread, including frozen",NA
2051,2051132,"White hearth bread, including french and italian",NA
2051,2051136,"Wholewheat, cracked wheat, multigrain and other dark wheat breads",NA
2051,2051143,"Other variety breads, including rye, raisin, pumpernickel, etc",NA
